timestamp,ch1,ch2,ch3,ch4,ch5
0,0.032127611339092255,0.046692535281181335,0.002603502944111824,0.004260872956365347,0.018728487193584442
1.0,0.03425820171833038,0.04797960817813873,0.002756649861112237,0.0035936255007982254,0.01505662128329277
2.0,0.03154654800891876,0.05402398109436035,0.002057607052847743,0.0042720637284219265,0.011678504757583141
3.0,0.017448417842388153,0.0543457493185997,0.002225574804469943,0.004761658608913422,0.013245164416730404
4.0,0.019288474693894386,0.06071189045906067,0.0038237401749938726,0.007844706065952778,0.02142118476331234
5.0,0.019675850868225098,0.05663616582751274,0.00561951519921422,0.01913895644247532,0.0399763323366642
6.0,0.030384402722120285,0.06449700891971588,0.024155268445611,0.03568306192755699,0.062252286821603775
7.0,0.07967840880155563,0.09731730818748474,0.06741441041231155,0.0670241266489029,0.07449182868003845
8.0,0.16170594096183777,0.2504250407218933,0.09510687738656998,0.11107505112886429,0.07659702003002167
9.0,0.2753048837184906,0.35083892941474915,0.15524432063102722,0.13509036600589752,0.08110117167234421
10.0,0.38958171010017395,0.43825241923332214,0.1547873467206955,0.15222196280956268,0.0718480795621872
