timestamp,ch1,ch2,ch3,ch4,ch5
0,0.0029877929482609034,0.031135359779000282,0.008237837813794613,0.005617749877274036,0.0044935657642781734
1.0,0.0027941034641116858,0.034368615597486496,0.014087075367569923,0.005503044929355383,0.011091670021414757
2.0,0.021029718220233917,0.033226847648620605,0.044901780784130096,0.006164696998894215,0.0218022633343935
3.0,0.03312288969755173,0.032529689371585846,0.06284469366073608,0.011604792438447475,0.029744071885943413
4.0,0.043250374495983124,0.023765865713357925,0.10470327734947205,0.04200303182005882,0.030086781829595566
5.0,0.07502986490726471,0.027021590620279312,0.11704149842262268,0.07494856417179108,0.023967012763023376
6.0,0.08955658227205276,0.029702989384531975,0.12554116547107697,0.10895302146673203,0.022840969264507294
7.0,0.137494757771492,0.02826191857457161,0.10625696927309036,0.153774693608284,0.023085763677954674
8.0,0.17507050931453705,0.03584592416882515,0.09035436064004898,0.1664551943540573,0.021078480407595634
9.0,0.18398019671440125,0.06360092014074326,0.11238040030002594,0.20004557073116302,0.01784723624587059
10.0,0.1868855357170105,0.06508691608905792,0.1500348448753357,0.20713630318641663,0.02514200285077095
